Experiment,Citation,Depth (cm),Sample date,Time (years),ambient CO2,increased CO2,ambient CO2.1,increased CO2.1,Description of data source,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
,Liu et al. 2010,0-20 ,aug. 2007,2.33,2262.63,2360.77,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,nov. 2007,2.66,2116.29,2158.08,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,apr. 2008,3.0,3624.71,3314.62,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,aug. 2008,3.33,3253.23,3278.85,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,nov. 2008,3.66,3287.0,3410.0,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China OTC - high N,Liu et al. 2010,0-20 ,jul. 2005,0.33,1200.71,1198.07,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,nov. 2005,0.67,921.97,1409.49,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,apr. 2006,1.0,1929.71,2372.64,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,aug. 2006,1.33,1951.15,2513.59,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,nov. 2006,1.66,1586.65,3053.9,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,apr. 2007,2.0,2015.47,3030.41,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,aug. 2007,2.33,2272.76,2725.02,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,nov. 2007,2.66,2187.0,2701.53,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,apr. 2008,3.0,3602.12,3946.58,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,aug. 2008,3.33,3580.68,4169.75,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,nov. 2008,3.66,3645.0,4158.0,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTS I,Lichter et al. 2008,0-15 ,aug. 1996,0.0,1977.0,2142.0,3.0,3.0,tab. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lichter et al. 2008,0-15 ,oct. 1999,3.17,1902.0,2208.0,3.0,3.0,tab. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lichter et al. 2008,0-15 ,aug. 2002,6.0,2407.0,2734.0,3.0,3.0,tab. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lichter et al. 2008,0-15 ,aug. 2006,9.0,2164.0,2096.0,3.0,3.0,tab. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTS II - Aspen,Talhelm et al. 2009,0-10 ,2001,4.0,3575.07,3562.4,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2003,6.0,3625.22,4434.77,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2004,7.0,3235.48,3242.64,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2005,8.0,3741.46,3506.22,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2006,9.0,4243.47,3840.68,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2007,10.0,4373.51,3760.06,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2008,11.0,5118.87,3267.47,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTS II - Aspen (+O3),Talhelm et al. 2009,0-10 ,2001,4.0,3192.54,3199.43,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2003,6.0,3080.8,3433.24,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2004,7.0,3418.36,2804.18,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2005,8.0,3886.14,2889.98,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2006,9.0,4072.97,3444.45,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2007,10.0,4382.11,3268.49,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2008,11.0,4782.79,3140.94,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTS II - Aspen/Birch,Talhelm et al. 2009,0-10 ,2001,4.0,3256.05,3816.81,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2003,6.0,3347.32,3274.32,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2004,7.0,3407.67,3457.47,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2005,8.0,3652.93,3436.28,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2006,9.0,4433.0,4196.18,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2007,10.0,4124.99,3831.59,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2008,11.0,3483.65,3946.42,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,0-10 ,2001,4.0,3305.46,3120.98,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2003,6.0,4104.62,3798.11,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2004,7.0,2942.85,3255.45,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2005,8.0,3577.59,3350.95,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2006,9.0,4083.14,4063.81,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2007,10.0,3909.27,4289.8,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2008,11.0,4113.33,3849.28,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTS II - Aspen/Mapel,Talhelm et al. 2009,0-10 ,2001,4.0,2908.2,3541.12,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2003,6.0,3327.21,3185.62,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2004,7.0,3134.93,3269.54,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2005,8.0,4205.96,3959.59,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2006,9.0,4022.99,3849.77,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2007,10.0,4013.86,4450.25,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2008,11.0,3947.76,4674.97,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,0-10 ,2001,4.0,3449.08,3333.9,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2003,6.0,3512.41,2960.93,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2004,7.0,3320.87,3240.07,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2005,8.0,3564.09,3375.91,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2006,9.0,4115.0,3739.11,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2007,10.0,3982.34,3737.1,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talhelm et al. 2009,0-10 ,2008,11.0,4093.18,3722.54,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GiFACE,Lenhart 2008,0-7.5 ,may 1998,0.0,3420.0,3528.0,3.0,3.0,fig. 3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenhart 2008,0-7.5 ,june 2007,9.08,3150.0,3096.0,3.0,3.0,fig. 3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hohenheim,Marhan et al. 2010,0-10 ,mar. 2004,2.0,1725.0,1767.0,5.0,5.0,tab. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marhan et al. 2010,0-10 ,oct. 2004,2.5,1707.0,1641.0,5.0,5.0,tab. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marhan et al. 2010,0-10 ,mar. 2005,3.0,1805.0,1744.0,5.0,5.0,tab. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marhan et al. 2010,0-10 ,oct. 2005,3.5,1567.0,1588.0,5.0,5.0,tab. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marhan et al. 2010,0-10 ,mar. 2006,4.0,1680.0,1717.0,5.0,5.0,tab. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marhan et al. 2010,0-10 ,oct. 2006,4.5,1721.0,1763.0,5.0,5.0,tab. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper Ridge - sandstone,Hungate et al. 1997,0-15 ,jan. 1992,0.0,2646.0,2646.0,10.0,10.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. 1997,0-15 ,may 1993,1.41,2645.67,2354.33,10.0,10.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. 1997,0-15 ,may 1994,2.41,2251.97,2338.58,10.0,10.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. 1997,0-15 ,may 1995,3.41,2314.96,2314.96,10.0,10.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. 1997,0-15 ,may 1996,4.41,2497.0,2486.0,10.0,10.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. 1997,0-15 ,may 1997,5.41,2612.0,2750.0,10.0,10.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Control,Hungate et al. unpublished,0-15 ,2000,2.0,2383.74,2344.24,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2427.86,2173.41,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Burn,Hungate et al. unpublished,0-15 ,2000,2.0,2295.96,2496.82,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2544.48,2268.83,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - N,Hungate et al. unpublished,0-15 ,2000,2.0,2247.69,2380.92,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2551.55,2328.91,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - N x Burn,Hungate et al. unpublished,0-15 ,2000,2.0,2359.16,2424.66,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2528.58,2226.42,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Water,Hungate et al. unpublished,0-15 ,2000,2.0,2292.48,2268.05,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2311.24,2085.06,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Water x Burn,Hungate et al. unpublished,0-15 ,2000,2.0,2393.88,2563.05,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2396.05,2300.64,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Water x N,Hungate et al. unpublished,0-15 ,2000,2.0,2192.73,2263.73,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2625.77,2442.0,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Water x N x Burn,Hungate et al. unpublished,0-15 ,2000,2.0,2251.41,2568.69,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2231.72,2385.45,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Heat,Hungate et al. unpublished,0-15 ,2000,2.0,2298.12,2294.91,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2385.45,2438.46,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Heat x N,Hungate et al. unpublished,0-15 ,2000,2.0,2287.78,2454.29,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2282.97,2449.06,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Heat x Water,Hungate et al. unpublished,0-15 ,2000,2.0,2326.8,2309.91,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2074.46,2413.72,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Heat x Water x N,Hungate et al. unpublished,0-15 ,2000,2.0,2393.21,2453.48,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2109.8,2406.66,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merritt Island,Hungate unpublished,0-10 ,dec. 1996,0.62,1209.32,1335.02,8.0,8.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate unpublished,0-10 ,jun. 1998,2.09,1130.5,1220.06,8.0,8.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
